subscription_id,user_id,platform,plan,price,start_date
S0,U2702,SonyLIV,Basic,199,2023-01-14
S1,U44824,SonyLIV,Basic,199,2023-11-02
S2,U5512,Prime,Basic,499,2024-12-11
S3,U37105,SonyLIV,Basic,499,2024-12-12
S4,U29798,Prime,Basic,499,2024-04-17
S5,U34342,Netflix,Basic,299,2023-08-14
S6,U18892,Netflix,Premium,199,2024-04-18
S7,U26376,Netflix,Basic,299,2023-03-16
S8,U48887,Prime,Premium,499,2024-04-30
S9,U11165,SonyLIV,Premium,199,2024-03-16
S10,U34214,Prime,Basic,199,2023-07-22
S11,U21017,SonyLIV,Basic,499,2023-01-04
S12,U38088,Hotstar,Premium,299,2023-03-26
S13,U47184,Hotstar,Premium,199,2024-07-15
S14,U764,Hotstar,Basic,199,2023-10-25
S15,U45257,Prime,Basic,499,2023-11-21
S16,U43349,Prime,Premium,199,2024-01-28
S17,U37517,Prime,Premium,199,2023-01-12
S18,U45461,Hotstar,Basic,199,2023-07-11
S19,U47666,Hotstar,Premium,499,2024-04-23
S20,U46120,Netflix,Basic,199,2024-03-27
S21,U15818,Prime,Basic,499,2024-12-30
S22,U43697,Hotstar,Premium,299,2024-11-11
S23,U9659,Hotstar,Premium,499,2023-05-14
S24,U46028,Prime,Basic,199,2024-04-15
S25,U2739,Prime,Basic,299,2023-02-07
S26,U2983,Netflix,Premium,299,2023-08-26
S27,U12960,Hotstar,Basic,499,2024-05-19
S28,U11268,SonyLIV,Premium,499,2024-02-03
S29,U38762,Hotstar,Basic,199,2023-07-14
S30,U5024,SonyLIV,Basic,499,2024-09-06
S31,U15815,SonyLIV,Premium,199,2024-09-12
S32,U6405,Hotstar,Premium,199,2023-06-20
S33,U4169,SonyLIV,Premium,499,2024-07-31
S34,U13121,Hotstar,Basic,199,2024-07-09
S35,U38012,Prime,Premium,499,2023-06-10
S36,U10731,Prime,Premium,199,2024-06-22
S37,U7569,Hotstar,Premium,499,2023-07-31
S38,U4249,Netflix,Basic,499,2023-02-27
S39,U21284,Prime,Basic,299,2024-08-05
